log_id,member_id,workout_type,calories_burned,workout_date
1,1008,Yoga,260,2025-01-27
2,1243,Yoga,369,2024-03-21
3,4588,Strength,751,2025-03-23
4,2517,Yoga,688,2025-12-30
5,3238,Yoga,638,2024-06-15
6,1557,Strength,150,2025-06-30
7,3561,Cardio,532,2024-03-01
8,600,Cardio,464,2025-05-17
9,4503,HIIT,229,2024-10-15
10,3334,HIIT,690,2026-02-03
11,580,HIIT,210,2024-12-07
12,2589,CrossFit,308,2024-11-03
13,2741,Strength,653,2025-05-25
14,1006,Cardio,188,2024-05-26
15,2975,HIIT,266,2025-06-28
16,639,Cardio,679,2025-03-27
17,3943,HIIT,361,2024-04-07
18,1697,Strength,394,2026-02-18
19,3933,Strength,239,2024-08-01
20,330,CrossFit,404,2024-05-18
21,4112,CrossFit,353,2024-05-25
22,4834,Cardio,307,2024-08-19
23,1584,Cardio,770,2025-03-17
24,4515,Strength,322,2025-11-09
25,153,Yoga,788,2024-03-17
26,473,HIIT,743,2025-08-31
27,1872,Yoga,614,2025-11-18
28,2018,HIIT,229,2024-09-06
29,3634,CrossFit,229,2025-10-29
30,2174,Yoga,567,2025-09-17
31,3654,HIIT,227,2025-04-03
32,4593,Yoga,160,2025-08-03
33,4864,HIIT,339,2024-09-21
34,4029,Cardio,337,2025-12-17
35,279,HIIT,442,2024-07-09
36,3152,Cardio,610,2025-09-08
37,4889,Yoga,616,2025-09-30
38,3797,HIIT,498,2025-06-11
39,4026,Cardio,636,2025-02-02
40,3464,Cardio,467,2026-01-07
41,2378,Cardio,397,2025-02-26
42,4396,Cardio,610,2024-10-26
43,631,Cardio,439,2025-10-14
44,1074,Yoga,215,2026-02-19
45,1458,Strength,485,2024-05-22
46,3622,Cardio,630,2024-05-15
47,3651,Strength,327,2025-11-11
48,2631,Strength,656,2024-06-04
49,4398,Strength,538,2025-12-04
50,2946,CrossFit,739,2025-06-12
51,658,Cardio,220,2025-09-02
52,1184,CrossFit,251,2024-06-14
53,1797,Strength,236,2025-08-06
54,98,Cardio,655,2024-10-20
55,889,Strength,278,2025-05-22
56,4904,CrossFit,254,2025-04-26
57,4473,CrossFit,581,2025-08-12
58,3701,CrossFit,322,2024-10-11
59,4304,Yoga,393,2025-07-21
60,3564,CrossFit,541,2025-08-25
61,1398,Cardio,511,2025-05-22
62,1123,Cardio,704,2025-06-26
63,884,HIIT,765,2025-03-21
64,1375,CrossFit,249,2024-08-08
65,4830,Yoga,325,2024-03-11
66,4065,Strength,277,2025-03-11
67,406,Strength,682,2025-03-18
68,3513,Strength,712,2024-04-14
69,1579,CrossFit,351,2025-04-24
70,4692,Yoga,770,2024-07-09
71,565,Cardio,742,2024-10-13
72,2805,Strength,644,2024-03-27
73,2187,Yoga,521,2025-09-13
74,954,CrossFit,373,2025-02-15
75,4118,CrossFit,183,2024-09-12
76,433,Yoga,518,2025-05-20
77,3567,HIIT,216,2024-05-18
78,750,Strength,446,2024-11-09
79,2749,CrossFit,646,2025-06-14
80,2249,Cardio,750,2025-10-09
81,2545,HIIT,492,2024-10-26
82,635,Strength,568,2024-10-20
83,785,Strength,737,2025-07-13
84,3665,HIIT,199,2026-02-08
85,3624,HIIT,270,2024-03-13
86,3714,Strength,793,2025-07-08
87,4215,CrossFit,275,2025-08-01
88,1361,Yoga,525,2024-09-14
89,1415,Cardio,748,2024-12-22
90,4319,CrossFit,223,2024-03-14
91,4898,Yoga,400,2025-08-17
92,1022,Strength,467,2025-11-02
93,194,Cardio,692,2025-03-05
94,4713,CrossFit,465,2024-08-04
95,2014,CrossFit,555,2025-06-18
96,2079,Strength,724,2026-01-09
97,2202,Yoga,225,2024-11-14
98,2616,Yoga,704,2024-07-19
99,3626,Yoga,636,2025-05-31
100,711,Yoga,677,2025-12-11
101,676,Yoga,668,2025-05-30
102,441,CrossFit,743,2024-09-04
103,1356,CrossFit,344,2025-12-03
104,2037,CrossFit,392,2026-01-01
105,1089,HIIT,164,2024-12-14
106,1558,Yoga,307,2025-11-16
107,4464,Cardio,205,2025-12-12
108,3453,Cardio,686,2026-01-15
109,1808,Yoga,629,2025-08-12
110,4382,CrossFit,387,2024-11-22
111,749,Strength,266,2025-09-06
112,2591,Cardio,200,2024-05-04
113,4893,HIIT,413,2025-09-12
114,3874,Strength,244,2024-09-09
115,3888,Yoga,224,2024-05-22
116,415,Yoga,337,2024-07-29
117,4061,CrossFit,244,2025-05-03
118,729,Yoga,606,2025-04-27
119,4043,HIIT,535,2024-09-23
120,1984,Cardio,304,2024-12-27
121,576,Cardio,291,2025-11-06
122,4280,Yoga,609,2026-01-16
123,4582,Strength,637,2025-08-02
124,379,HIIT,481,2024-10-10
125,4634,Yoga,722,2025-08-05
126,3744,CrossFit,603,2025-08-25
127,1391,HIIT,795,2025-08-23
128,2116,Cardio,781,2026-01-20
